Timestamp,Value,,,,
04.11.2024 14:31,46,,,,
04.11.2024 14:31,1948,1,,,
04.11.2024 14:31,1946,2,AVERAGE,1959.057803,
04.11.2024 14:31,1948,3,MAX,1989,
04.11.2024 14:31,1949,4,MIN,1920,
04.11.2024 14:31,1970,5,,,
04.11.2024 14:31,1974,6,,,
04.11.2024 14:31,1979,7,,,
04.11.2024 14:31,1981,8,,,
04.11.2024 14:31,1980,9,,,
04.11.2024 14:31,1981,10,,,
04.11.2024 14:31,1981,11,,,
04.11.2024 14:31,1979,12,,,
04.11.2024 14:31,1978,13,,,
04.11.2024 14:31,1979,14,,,
04.11.2024 14:31,1979,15,,,
04.11.2024 14:31,1979,16,,,
04.11.2024 14:31,1985,17,,,
04.11.2024 14:31,1969,18,,,
04.11.2024 14:31,1966,19,,,
04.11.2024 14:31,1965,20,,,
04.11.2024 14:31,1965,21,,,
04.11.2024 14:31,1964,22,,,
04.11.2024 14:31,1961,23,,,
04.11.2024 14:31,1938,24,,,
04.11.2024 14:31,1938,25,,,
04.11.2024 14:31,1938,26,,,
04.11.2024 14:31,1940,27,,,
04.11.2024 14:31,1940,28,,,
04.11.2024 14:31,1941,29,,,
04.11.2024 14:31,1943,30,,,
04.11.2024 14:31,1946,31,,,
04.11.2024 14:31,1955,32,,,
04.11.2024 14:31,1962,33,,,
04.11.2024 14:31,1966,34,,,
04.11.2024 14:31,1966,35,,,
04.11.2024 14:31,1963,36,,,
04.11.2024 14:31,1965,37,,,
04.11.2024 14:31,1965,38,,,
04.11.2024 14:31,1965,39,,,
04.11.2024 14:31,1963,40,,,
04.11.2024 14:31,1961,41,,,
04.11.2024 14:31,1967,42,,,
04.11.2024 14:31,1965,43,,,
04.11.2024 14:31,1965,44,,,
04.11.2024 14:31,1961,45,,,
04.11.2024 14:31,1961,46,,,
04.11.2024 14:31,1966,47,,,
04.11.2024 14:31,1965,48,,,
04.11.2024 14:31,1962,49,,,
04.11.2024 14:31,1941,50,,,
04.11.2024 14:31,1927,51,,,
04.11.2024 14:31,1957,52,,,
04.11.2024 14:31,1962,53,,,
04.11.2024 14:31,1959,54,,,
04.11.2024 14:31,1967,55,,,
04.11.2024 14:31,1944,56,,,
04.11.2024 14:31,1933,57,,,
04.11.2024 14:31,1935,58,,,
04.11.2024 14:31,1937,59,,,
04.11.2024 14:31,1955,60,,,
04.11.2024 14:31,1954,61,,,
04.11.2024 14:31,1961,62,,,
04.11.2024 14:31,1966,63,,,
04.11.2024 14:31,1966,64,,,
04.11.2024 14:31,1968,65,,,
04.11.2024 14:31,1964,66,,,
04.11.2024 14:31,1966,67,,,
04.11.2024 14:31,1965,68,,,
04.11.2024 14:31,1962,69,,,
04.11.2024 14:31,1966,70,,,
